PDB Code,-logKd/Ki
3zzf,0.4
3gww,0.45
1w8l,0.49
3fqa,0.49
1zsb,0.6
6h9v,0.66
4obv,0.75
1wkm,0.82
3k41,0.82
4eu3,0.82
2w97,0.96
1p0y,1.0
2b1r,1.0
2d2v,1.0
1aw1,1.05
1maw,1.1
3fl9,1.11
5eb2,1.11
4lh2,1.24
4to8,1.24
4fci,1.26
4fck,1.26
4clp,1.27
1f9g,1.28
1a0t,1.3
1b74,1.3
2fah,1.3
5oxm,1.3
2igw,1.31
5mnc,1.31
5mny,1.31
5moo,1.31
2vl1,1.35
3nm6,1.35
1qpb,1.36
6k2n,1.36
1hty,1.4
1o4l,1.4
1o4m,1.4
1o4n,1.4
2hdq,1.4
3eor,1.4
3e81,1.43
1ozv,1.44
1utp,1.44
5eb3,1.45
1tnk,1.49
4bh4,1.49
5vqe,1.49
4lh3,1.52
5ct1,1.52
5ele,1.52
3mwe,1.54
4amw,1.55
1iig,1.57
3rup,1.57
5cs5,1.58
5ofv,1.58
2b1q,1.59
1w8m,1.6
3itc,1.6
2it4,1.62
5k5c,1.62
1a7t,1.64
4d63,1.64
1hgj,1.66
1rdj,1.66
2o9r,1.68
4qsw,1.68
2sfp,1.7
3gf2,1.7
3oay,1.7
4tyb,1.7
6cex,1.7
6cf5,1.7
3g6m,1.71
2hdr,1.72
3ern,1.72
3vzg,1.72
3zst,1.72
5y61,1.72
1u2y,1.74
4qsx,1.74
5y62,1.74
5ggj,1.75
5zef,1.75
4bgx,1.77
3f39,1.78
5ggl,1.78
2zgm,1.79
1ga8,1.8
3rxh,1.8
1af6,1.82
1bra,1.82
1d5r,1.82
1y1m,1.82
3eqb,1.82
4ahv,1.82
1rdn,1.84
1fd7,1.85
3khv,1.85
1mwt,1.88
1tnl,1.88
2ay2,1.88
4x8s,1.89
1f2p,1.9
4mrh,1.9
1f2o,1.91
1efi,1.92
3ehn,1.92
4bh3,1.92
2rjr,1.94
5nn4,1.94
4mrf,1.95
6abk,1.95
1tnj,1.96
2gga,1.96
5oxn,1.96
1wdq,1.98
6h7u,1.98
6hzp,1.98
3i3d,1.99
1gbt,2.0
1ing,2.0
2bmv,2.0
2hds,2.0
3rv3,2.0
4awj,2.0
4ctk,2.0
4kz5,2.0
4u58,2.0
4y4g,2.0
6evq,2.0
6ra1,2.0
4ty8,2.03
5ekx,2.03
5nzq,2.03
2ks9,2.04
1jfh,2.05
4e4a,2.05
4ty9,2.05
4x8t,2.05
5eiw,2.05
1qq9,2.06
1rdi,2.06
2zg3,2.06
4b0c,2.07
3rxp,2.08
5tyh,2.08
1njj,2.1
2zg1,2.1
4aml,2.1
6r49,2.1
3uf9,2.11
6aao,2.11
1qx1,2.12
1p2g,2.13
6gz9,2.13
6dim,2.14
6djd,2.14
1uxb,2.15
3rxg,2.15
4b0j,2.15
6fap,2.15
6fi1,2.15
6r9s,2.15
2ay9,2.16
6gmx,2.17
3l7d,2.18
6g47,2.18
4amx,2.19
4jdf,2.19
5nzp,2.19
1w1v,2.2
2vvo,2.2
4eh8,2.2
1icj,2.22
4uru,2.22
4x11,2.22
5fsb,2.22
5hcl,2.22
5jqb,2.22
2igv,2.23
1rdl,2.24
2ay8,2.24
2os9,2.24
5f6v,2.24
5nzo,2.24
1ukt,2.25
3ao1,2.26
4eh9,2.26
5v6u,2.26
1hge,2.27
4mfe,2.27
2rjs,2.28
3fu0,2.28
2ay1,2.29
4ehv,2.29
5fnj,2.29
1hyv,2.3
1inh,2.3
1jdj,2.3
1n1g,2.3
1o4g,2.3
1uxa,2.3
1w1p,2.3
2ay7,2.3
2hdu,2.3
2xix,2.3
2xlc,2.3
4b6e,2.3
4e3d,2.3
4led,2.3
4wh7,2.3
5enc,2.3
5eni,2.3
5enj,2.3
5g42,2.3
6au2,2.3
6gmq,2.3
2qve,2.32
1z6d,2.34
5elf,2.34
1qi0,2.35
4k3k,2.35
1o4j,2.36
4jck,2.37
4aj2,2.38
4nyt,2.39
4tya,2.39
2wi1,2.4
3dxg,2.4
3l7b,2.4
3pcb,2.4
3t2t,2.4
4u5l,2.4
4y38,2.4
4zsm,2.4
1o4r,2.41
2wsx,2.41
6aaq,2.41
5os3,2.43
1o4h,2.44
1t4s,2.44
2i2b,2.44
2xiy,2.44
3ked,2.44
3l7c,2.44
4d62,2.44
1gbq,2.46
1o4o,2.46
2aez,2.46
3l79,2.46
4ah9,2.46
4eh6,2.46
5aqh,2.46
1tok,2.47
3rik,2.47
4gne,2.47
5dv4,2.47
5jal,2.47
4ze6,2.48
5mnb,2.48
5mnx,2.48
5mon,2.48
1o4q,2.49
4ej2,2.49
6c3n,2.49
4ctj,2.51
6dji,2.51
1rq2,2.52
1wdr,2.52
3ad7,2.52
3bf1,2.52
3fq7,2.52
4e3f,2.52
5f6d,2.52
5f6u,2.52
1iup,2.54
1il3,2.55
1kf0,2.55
5eif,2.55
5n53,2.55
5os0,2.55
2ria,2.57
2wq4,2.57
5v4q,2.57
6poq,2.57
2ay5,2.59
2jst,2.59
4o3a,2.59
4wef,2.59
5tpb,2.59
1o4p,2.6
2c4v,2.6
3gwv,2.6
3rxf,2.6
6mia,2.6
1cze,2.62
1w1y,2.62
2kfh,2.62
3f38,2.62
3fk1,2.62
3rxl,2.62
4lnf,2.62
4lno,2.62
5foo,2.62
1g5f,2.64
1o4i,2.64
3p1d,2.64
1il5,2.66
3rxb,2.66
4y2p,2.66
5eld,2.66
6prt,2.67
1hgi,2.68
1o8b,2.68
2q72,2.68
3rxk,2.68
5aqj,2.68
5aqp,2.68
4usw,2.69
5k5s,2.69
1br5,2.7
1gym,2.7
1lt5,2.7
1tc1,2.7
1ylv,2.7
