BindingDB_MonomerID,Affinities
21244,8.4862
21247,6.5528
21248,5.5498
21249,6.5528
21250,6.9586
21251,6.9586
21252,5.5498
21254,5.5498
21255,5.7328
21256,7.4318
21257,7.2518
21258,7.4202
21259,7.5528
21260,7.3768
21261,7.5379
21262,7.4559
21263,8.2518
21264,7.5528
21265,6.5528
21266,7.8539
21267,5.5528
21269,5.5528
21270,5.7959
21271,5.7959
21272,7.4559
21273,7.4559
21274,5.7447
21275,6.5528
21276,6.9586
21277,7.5528
21278,8.2349
21279,8.5604
21280,6.829
21281,7.5565
21282,6.2521
21283,5.9338
21284,7.9208
21285,7.1805
21286,5.9172
21287,6.2907
21288,5.7144
21289,7.8539
21290,7.8861
21291,7.5528
21292,7.1549
21293,5.8962
21294,6.4112
21295,6.6904
21296,5.53
21297,6.6091
21298,5.9626
21299,6.5513
21300,7.3979
21301,7.3468
21303,6.6271
21304,7.4815
21305,5.9606
21306,5.5522
21307,6.1071
21308,6.4034
21309,7.5528
21310,6
21311,6.1931
21315,5.8911
21317,6.0061
21320,5.4559
21322,5.3897
21325,5.4792
21328,5.7693
21330,5.727
21331,7.5086
21333,7.6021
21334,6.6421
22988,7.0353
24567,5.6021
26144,6.2432
27337,9.1549
27338,8.1308
27339,8.1487
27340,8.2147
27341,8.6383
27342,8.284
27343,8.5378
29061,9.1109
29062,7.2147
29063,8.3279
29064,8.6021
29065,8.6021
29066,8.3279
29067,7.6198
29068,7.9586
29069,8.7696
29070,9.1549
29071,7.5229
29072,7.0809
29073,8.8861
29074,8.7212
29075,9.0431
29076,8.8539
29078,7.7113
29079,7.7268
29080,5.9586
29081,6.1884
29082,6.1995
29087,7.699
29088,7.5528
29091,6.0862
29093,5.8539
29094,7.9302
29095,8.5229
29096,9.4949
29097,9.1024
29098,9.699
29099,7.6021
29100,9.699
29101,8.9208
29102,8.7959
29103,7.3979
35867,6.9431
35868,8
35869,5.9629
35870,9
35871,7.8059
35872,7.5239
35873,8.2439
35874,6.6048
35875,7.9586
35876,7.8861
35877,7.9434
35878,7.7506
35879,5.8019
35880,5.4022
35881,6.3901
35882,6.7723
35883,7.0969
35884,6.1175
45519,5.0391
50459,4.6091
50683,5.6517
57190,6.239
60994,7.8428
61397,7.1612
61535,5.4989
66782,5.45
68300,4.5607
68307,5.0287
68308,4.8069
68309,5.1146
68311,4.6861
68313,4.7399
68317,4.567
68318,5.3028
68322,4.6925
68323,5.3526
68324,4.8962
68326,4.8013
70185,5.5
76032,5.5157
76033,5.1765
76034,5.7799
76035,5.7747
76036,4.7471
76037,5.4045
76038,5.6536
76039,5.4737
76040,4.7077
76042,4.8761
76046,4.5017
76047,4.7986
76051,4.6038
76052,6.3696
76053,5.4802
76054,4.7471
76055,5.7033
76056,4.9318
76057,4.8013
76058,5.1481
76059,5.1146
76060,5.0635
76061,5.4461
76062,5.4401
76063,5.0623
76064,6.1798
76065,5.983
76066,5.7747
76067,6.0241
76068,5.3363
76069,5.8327
76070,6.0605
76071,5.5867
76072,5.4486
76073,5.3215
76075,4.9914
76076,5.3883
76077,5.4572
76078,6.4535
76079,5.27
76080,6.0083
76081,5.383
76082,6.0706
76083,5.6757
76084,5.4225
76085,5.308
76086,4.6108
76087,4.7258
76088,4.7721
76090,6.3242
76091,4.8314
78304,5.5017
81559,6.0655
81563,5.9101
81564,6.0132
82141,7.8861
84880,7.1871
85675,7.4634
85739,5.5158
86514,7.3161
86515,7.8633
86531,5.301
86533,5.0223
86534,5.8861
86535,5.6021
86536,5.6576
86538,5.2518
86539,5.6198
86540,5.301
86876,7.0132
86877,6.9666
86879,7.2366
86880,7.2291
86881,7.2366
86882,7.0362
86883,6.7144
86884,7.0458
86885,7.2076
86886,7.1135
86887,8.301
86888,6.7645
86889,7.0269
86891,6.7033
86984,8.1118
86985,6.059
86986,7.9586
86988,6.6655
86989,8.5229
86990,6.5575
86991,7.5528
86992,8.1549
86993,7.8239
86994,6.2933
86995,8.3979
86996,6
86997,8.1549
86998,9
86999,7.8861
87000,7.8861
87001,7.5229
87003,8.3979
87004,7.4202
87005,6.9586
87006,7.7447
87007,8.699
87008,7.301
87009,8.0458
87010,5.8239
87011,7.3372
87012,7.6021
87016,6.3453
87017,7.2774
87018,6.5209
87020,6.613
93452,6.6449
93453,6.4089
93454,6.2076
93455,6.3785
93456,5.5528
93457,5.5686
93458,5.6021
93459,7.0458
93460,6.5431
93461,6.699
93462,6.699
93463,7.0485
95787,6.7905
113764,5.4365
113765,5.0635
113766,5.4168
159779,6.9208
163041,5.9901
163042,6.3748
163048,5.4
163050,6.7595
163051,5.73
163065,5.58
163067,6.5901
163069,6.6596
163071,5.4
176622,6.5229
181239,5.7018
181242,7.3772
181243,7.3306
181244,6.7011
181245,8.4318
181246,8.6326
181247,7.765
192521,9.15
192522,6.97
192523,6.7372
192524,7.6341
192525,7.9586
192526,8.2069
192527,8.2218
192528,8.3893
192529,8.4455
192530,8.5935
192531,8.2147
192532,8.4718
192533,7.7159
192534,8.7178
192535,8.3974
192536,8.8182
192537,8.5711
192538,8.6968
208270,8.3565
208271,8.9035
227552,8.4685
235934,4.9318
235935,5.8633
235937,5.4724
242438,5.5229
242463,5.2218
286105,6.1249
295688,5.0655
295691,4.301
295693,4.4045
295694,6.0348
295695,5.0925
295696,5.6021
295697,5.5086
295698,4.0605
295701,3.9208
295702,4.1612
388461,6.8473
388463,6.9788
388465,6.7386
388466,5.9208
419118,5.312
419185,5.5283
419188,6.0031
419190,6.4935
419260,6.3116
419261,6.8794
419262,6.0975
419263,5.2667
419267,6.3325
419268,5.4694
419269,6.8327
419273,5.7086
419275,5.4166
419277,5.2708
419278,6.0311
419279,5.8324
419282,5.0969
419283,5.5516
419286,5.249
419288,5.6404
419292,5.6103
419293,5.1915
419294,5.8374
419295,5.4829
419296,6.6757
419298,5.5173
419299,5.9682
419300,6.6882
419302,5.8674
419303,5.7296
419304,6.2306
419305,6.6383
419306,6.8697
419307,6.2518
419308,5.5889
419309,6.5072
419314,6.2343
419316,5.2629
435491,3.983
435493,4.5528
435502,4.585
529437,4.6576
529438,4.6576
529443,4.3279
529444,4.3279
532445,7.0101
532446,8.8386
532448,8.4202
576352,6.0079
579472,6.5317
579473,6.4622
579474,6.4449
579476,8.5086
590758,5.4121
590776,6.2596
590785,7.4089
590787,6.7352
590788,6.4461
590790,6.9508
590791,6.2596
590797,5.2159
590799,5.0651
590803,5.5558
590805,6.0168
590808,5.5311
590835,6.384
590836,6.2182
590838,5.3389
590841,6.4584
590845,5.4862
590846,6.0482
590850,5.5403
590851,5.6763
590852,5.7934
590853,5.5369
590859,6.2596
590860,6.2596
590864,6.2581
590865,5.8294
590870,5.6354
590892,5.474
590905,6.2596
614234,6.9788
614238,6.9788
614239,6.9788
614241,6.9788
614242,6.9788
614243,6.2218
614248,6.9788
614251,6.9788
614253,6.9788
614257,6.9788
614258,6.2218
614259,6.9788
614261,6.9788
614264,6.2218
616057,4.2967
616065,4.4023
616074,4.5834
616086,4.061
616093,4.065
616094,4.0953
616103,4.1759
616107,4.3893
616122,4.4389
616150,4.5346
616153,4.1169
628471,8.1549
628472,8.3979
628477,7.7447
628487,7.3188
646493,4.9957
646494,7
646495,5.4559
50000727,9.3872
50000729,8.056
50005282,5.4111
50005908,5.1301
50005917,6.0066
50005920,7.8695
50005922,5.2963
50006229,7.6198
50006252,6.6108
50006253,6.5654
50006254,6.4763
50006416,5.58
50006447,3.8239
50008022,9.4949
50008029,6.3439
50009854,7.0862
50009864,6.1952
50011306,6.6778
50011307,8
50011308,5.3979
50011309,7.7447
50011310,8.3768
50011311,6.6696
50011312,7.5376
50011313,7.5528
50011314,8.0458
50011315,7.8239
50011316,8.3468
50011317,8.0757
50011322,8.8539
50011323,8.5229
50011324,8.7959
